name,x,y,CORE-TSO_country,CORE-TSO_tso,OSM_type,OSM_name,OSM_country,OSM_voltage,OSM_operator,OSM_alt_name,Comments,CORE-TSO-name,geometry,transformer_dupplicate,v_nom
455120191,9.55643,47.30266,AT,APG,Polygon,Unterwerk Rüthi,CH,220000,Swissgrid,,Manually corrected (tie-line). In CH,Ruethi,POINT (9.55643 47.30266),False,220.0
852324809,9.670056037684924,47.1989039874369,AT,APG,Polygon,Umspannwerk Walgauwerk,AT,220000,Vorarlberger Energienetze GmbH,,"Manually corrected (tie-line). In AT, but no part of any grid, just on the way to CH","Walgauwerk, Walgau",POINT (9.670056037684924 47.1989039874369),False,220.0
7933294,10.33208,46.80492,AT,APG,MultiPolygon,Pradella,IT,380000;220000,EKW,,Manually corrected (tie-line). In IT,Pradella,POINT (10.33208 46.80492),False,400.0
103455240,4.371590694343084,50.39365551631174,BE,ELIA,Polygon,220/150kV Monceau,BE,220000;150000,,,"Manually corrected (tie-line). In BE, but is part of a ehv grid only connected to FR","MONCEAU, TR MONCEAU PST 1",POINT (4.371590694343084 50.39365551631174),False,220.0
460847807,5.93353,49.53804,BE,ELIA,Polygon,Repiquage Differdange,BE,220000,,,Manually corrected (tie-line). Y-junction at 1.52 km from the station,REPIQUAGE BIFFERDANGE 220kV,POINT (5.93353 49.53804),False,220.0
160406892,5.90354704639778,49.52606213918858,BE,ELIA,Polygon,Differdange-Arbed,LU,220000,,,"Manually corrected (tie-line). Unclear, but identified with a substation in LU that otherwise will not be modelled",SANEM,POINT (5.90354704639778 49.52606213918858),False,220.0
118591672,5.759902166895893,49.54108306100668,BE,ELIA,Polygon,Poste électrique du Mont Saint-Martin,FR,225000,RTE,,"Manually corrected (tie-line). In FR, but not part of the grid, just as Tie-Line with BE","MONT-SAINT-MARTIN, MT-SAINT-MARTIN",POINT (5.759902166895893 49.54108306100668),False,220.0
500788534,3.209720384367968,51.26506849978194,BE,ELIA,Polygon,Nemo Link Converter Station,BE,380000,Elia,,"Manually corrected (tie-line). In BE, but a HVDC converter station",NEMO CONVERTOR STATION,POINT (3.209720384367968 51.26506849978194),False,400.0
98648381,8.2323,47.5559,DE,Amprion GmbH,Polygon,Unterwerk Beznau,CH,380000;220000;110000,Swissgrid; Axpo,,Manually corrected (tie-line). In CH,Beznau,POINT (8.2323 47.5559),False,400.0
50319857,8.0504,47.5505,DE,Amprion GmbH,Polygon,Laufenburg,CH,380000;220000,,,Manually corrected (tie-line). In CH,"Laufenburg, Y-Kuehmoos, Y-Laufenburg",POINT (8.0504 47.5505),False,400.0
95840891,9.2694,55.0369,DE,TENNETGMBH,Polygon,400 kV Kassø,DK,400000;220000;150000,Energinet,,Manually corrected (tie-line). In DK,Kasso,POINT (9.2694 55.0369),False,400.0
145583866,11.39245514760937,47.23631868902148,DE,TENNETGMBH,Polygon,Umspannwerk Vill,AT,220000,TIWAG,,"Manually corrected (tie-line). In AT, but also in DE",Vill,POINT (11.39245514760937 47.23631868902148),False,220.0
8890888,6.7533,58.6707,DE,TENNETGMBH,MultiPolygon,Ertsmyra trafostasjon ,NO,420000,Statnett,,"Manually corrected (tie-line). In NO, Nordlink HVDC connection",Ertsmyra,POINT (6.7533 58.6707),False,400.0
397960460,7.75265,47.53915,DE,TRANSNETBW,Polygon,Asphard ,CH,380000,ALPIQ AXPO,,Manually corrected (tie-line). In CH,Asphard,POINT (7.75265 47.53915),False,400.0
190819048,7.9464,47.3175,DE,TRANSNETBW,Polygon,Unterwerk Oftringen,CH,220000,swissgrid,,Manually corrected (tie-line). In CH,Oftringen,POINT (7.9464 47.3175),False,220.0
103653567,7.63,43.8279,FR,RTE,Polygon,Camporosso,IT,220000,Enel Distribuzione,,Manually corrected (tie-line). In IT,CAMPOROSSO,POINT (7.63 43.8279),False,220.0
74869121,7.936,45.2329,FR,RTE,Polygon,Rondissone,IT,380000,Terna,,Manually corrected (tie-line). In IT,RONDISSONE,POINT (7.936 45.2329),False,400.0
491424937,7.00848,45.16233,FR,RTE,Polygon,Venaus G1 G2,IT,380000,Enel Produzione,,Manually corrected (tie-line). In IT,VENAUS,POINT (7.00848 45.16233),False,400.0
