line_name,eic_code,tso,substation_1,substation_2,voltage_kv
Lauchstädt - Vieselbach 472,11TD8L472------B,50HERTZ,Lauchstädt,Vieselbach,380.0
Lubmin - Altentreptow/Nord 475,11TD8L475------O,50HERTZ,Lubmin,Altentreptow/Nord,380.0
Lubmin - Altentreptow/Süd 476,11T0-0000-0007-7,50HERTZ,Lubmin,Altentreptow/Süd,380.0
Lubmin - Lüdershagen 313,11TD8L313------U,50HERTZ,Lubmin,Lüdershagen,220.0
Lubmin - Lüdershagen 314,11TD8L314------M,50HERTZ,Lubmin,Lüdershagen,220.0
Lubmin - Siedenbrünzow 509,11TD8L509------8,50HERTZ,Lubmin,Siedenbrünzow,380.0
Lubmin - Siedenbrünzow 510,11TD8L510------Y,50HERTZ,Lubmin,Siedenbrünzow,380.0
Lüdershagen - Bentwisch 318,11TD8L318------R,50HERTZ,Lüdershagen,Bentwisch,220.0
Lüdershagen - Güstrow 317-276,11TD8L317-276--N,50HERTZ,Lüdershagen,Güstrow,220.0
Marke - Lauchstädt 504,11TD8L504------B,50HERTZ,Marke,Lauchstädt,380.0
Marzahn - Wuhlheide 301,11TD8L301------I,50HERTZ,Marzahn,Wuhlheide,220.0
Marzahn - Wuhlheide(Abzweig) 302/1,11TD8L302------A,50HERTZ,Marzahn,Wuhlheide (Abzweig),220.0
Neuenhagen - Hennigsdorf 293,11TD8L293------5,50HERTZ,Neuenhagen,Hennigsdorf,220.0
