nuts3,hh_mwh,cts_mwh,ind_mwh,total_mwh,total_gwh,population
DE913,202274.31267867502,187179.21471757995,286806.861260808,676260.388657063,676.260388657063,124045.0
DE713,201767.17969271788,186709.9274768434,286087.7921016149,674564.8992711762,674.5648992711762,123734.0
DEB1A,201455.72502931618,186421.71569877045,285646.17728037405,673523.6180084606,673.5236180084606,123543.0
DE278,200819.77048101023,185833.22044511366,284744.450682029,671397.4416081529,671.3974416081529,123153.0
DE144,199976.72304133212,185053.0869934712,283549.084909351,668578.8949441544,668.5788949441544,122636.0
DE117,199864.2080058625,184948.96860243962,283389.5486650285,668202.7252733307,668.2027252733307,122567.0
DE129,199342.399145713,184466.10070200328,282649.6704304889,666458.1702782052,666.4581702782052,122247.0
DE946,198018.30916308484,183240.82340464607,280772.2294103448,662031.3619780757,662.0313619780757,121435.0
DE733,197579.66359002216,182834.91257584176,280150.26926943497,660564.8454352989,660.5648454352988,121166.0
DE40I,197331.80438145145,182605.55032313452,279798.8271080287,659736.1818126147,659.7361818126146,121014.0
DE91B,197277.9928427494,182555.75457090203,279722.52716509183,659556.2745787433,659.5562745787432,120981.0
DE927,196708.8950546491,182029.12676698863,278915.5974655471,657653.6192871849,657.6536192871849,120632.0
DE22A,194403.15215386605,179895.45423193558,275646.2605166755,649944.8669024771,649.9448669024771,119218.0
DE226,193990.5970238105,179513.6867981531,275061.29428749264,648565.5781094562,648.5655781094563,118965.0
DE21E,191857.70330795145,177539.96425511956,272037.0420038122,641434.7095668833,641.4347095668833,117657.0
DE40G,191821.8289488164,177506.76708696457,271986.17537518765,641314.7714109686,641.3147714109687,117635.0
DEA31,191019.54782633777,176764.3576900437,270848.6125895831,638632.5181059646,638.6325181059647,117143.0
DE224,190127.58080602,175938.9553727353,269583.883232417,635650.4194111724,635.6504194111724,116596.0
DE12C,189535.65388028923,175391.20209817786,268744.58386011125,633671.4398385783,633.6714398385783,116233.0
DEE0D,187952.2901202746,173925.99981279133,266499.51584218023,628377.8057752461,628.3778057752461,115262.0
DEB21,187384.8229848621,173400.8809710668,265694.8982621185,626480.6022180475,626.4806022180475,114914.0
DE248,187254.37076982553,173280.16399595773,265509.92870348366,626044.4634692669,626.0444634692669,114834.0
DE26B,187220.12706337828,173248.4757899916,265461.37419434194,625929.9770477118,625.9299770477119,114813.0
DE258,186368.92636026003,172460.79752740482,264254.44782424934,623084.1717119142,623.0841717119142,114291.0
DE502,185935.17274526082,172059.41358516712,263639.4240417883,621634.0103722162,621.6340103722163,114025.0
DE936,185207.90164642892,171386.41644893397,262608.21875239885,619202.5368477617,619.2025368477617,113579.0
DEB11,183588.66352727928,169888.01699539245,260312.28410584328,613788.9646285151,613.788964628515,112586.0
