trafo_id,bus0,bus1,s_nom,type,tap_ratio,phase_shift,num_parallel
31316,36662,36663,260,"",1,0,1
31317,39393,39394,520,"",1,0,1
31318,35688,35689,1560,"",1,0,1
31319,36613,36614,520,"",1,0,1
31321,35593,35594,1040,"",1,0,1
31322,34759,34760,3660,"",1,0,1
31323,34760,34761,12480,"",1,0,1
31324,36931,36932,2080,"",1,0,1
31325,35140,35141,520,"",1,0,1
31326,35141,35142,520,"",1,0,1
31327,34910,34911,2160,"",1,0,1
31328,34886,34887,1040,"",1,0,1
31329,34835,34836,2080,"",1,0,1
31330,34836,34837,2080,"",1,0,1
31331,36580,36581,520,"",1,0,1
31332,38639,38640,1300,"",1,0,1
31333,34809,34810,3640,"",1,0,1
31334,34810,34811,7800,"",1,0,1
31335,39466,39467,260,"",1,0,1
31336,39467,39468,1560,"",1,0,1
31337,37770,37771,260,"",1,0,1
31338,37637,37638,520,"",1,0,1
31339,34925,34926,260,"",1,0,1
31340,34926,34927,1560,"",1,0,1
31341,35690,35691,1300,"",1,0,1
31342,36666,36667,1590,"",1,0,1
31343,36667,36668,1590,"",1,0,1
31344,35453,35454,1040,"",1,0,1
31345,35454,35455,1560,"",1,0,1
31346,34888,34889,2860,"",1,0,1
31347,38821,38822,2080,"",1,0,1
31348,38822,38823,2080,"",1,0,1
31349,39276,39277,1040,"",1,0,1
31350,34742,34743,2600,"",1,0,1
31351,34743,34744,2600,"",1,0,1
31352,34799,34800,3120,"",1,0,1
31353,38860,38861,1040,"",1,0,1
31354,38901,38902,260,"",1,0,1
31355,38392,38393,520,"",1,0,1
31356,38145,38146,520,"",1,0,1
31357,35167,35168,1600,"",1,0,1
31358,36828,36829,1560,"",1,0,1
31359,36897,36898,780,"",1,0,1
31360,36146,36147,1820,"",1,0,1
31361,35117,35118,1560,"",1,0,1
31363,36066,36067,520,"",1,0,1
31364,34778,34779,520,"",1,0,1
31365,36642,36643,260,"",1,0,1
