ags,name,type,nuts3,area_km2,hh_mwh,cts_mwh,industry_mwh,total_mwh,total_gwh,density_mwh_per_km2
09564000,Nürnberg,Stadt,DE254,187.7207758253021,831592.1045451843,769532.9922656927,1179123.1333103355,2780248.230121212,2780.248230121212,14810.551564673824
05112000,Duisburg,Stadt,DEA12,233.12851738677148,801027.1505619591,741249.0049976341,1135784.7657221814,2678060.9212817745,2678.0609212817744,11487.487465288265
05911000,Bochum,Stadt,DEA51,144.82616187007872,594767.522713897,550381.8866904717,843327.0844450775,1988476.493849446,1988.4764938494461,13730.09177467036
05124000,Wuppertal,Stadt,DEA1A,168.44107662568942,570803.4508115567,528206.1783629328,809348.1765238486,1908357.805698338,1908.3578056983379,11329.527475884639
05711000,Bielefeld,Stadt,DEA41,259.19134265678366,543154.1038344144,502620.21548856224,770143.8785711841,1815918.1978941606,1815.9181978941606,7006.09125011851
05314000,Bonn,Stadt,DEA22,141.58131265487833,519866.7527975795,481070.72646940185,737124.5002353737,1738061.9795023552,1738.0619795023551,12276.069114707903
05515000,Münster,Stadt,DEA33,303.510832661571,505565.92872412276,467837.1280730684,716847.2123700242,1690250.2691672153,1690.2502691672153,5568.994866986922
08212000,Karlsruhe,Stadt,DE122,174.08171495970558,501841.51798480906,464390.65843370405,711566.3314709981,1677798.507889511,1677.798507889511,9637.993905780791
08222000,Mannheim,Stadt,DE126,145.11561428029066,498620.9789260778,461410.4581106985,706999.8954921993,1667031.3325289756,1667.0313325289756,11487.608282518146
09761000,Augsburg,Stadt,DE271,146.4559293930574,466976.53286341944,432127.53787361237,662130.9048063415,1561234.9755433733,1561.2349755433734,10660.10083725147
06414000,Wiesbaden,Stadt,DE714,203.8016971223372,450415.6241644427,416802.51788351405,638649.0193376425,1505867.1613855993,1505.8671613855993,7388.884305912643
