bus_id,capacity_mw,plant_count,carrier
35390.0,32.790165,799,solar
35393.0,10.785312999999984,1616,solar
35394.0,21.766188999999997,1403,solar
35395.0,24.996416000000025,2092,solar
35396.0,36.46494699999995,1085,solar
35398.0,25.228720000000017,2123,solar
35399.0,8.196804999999996,755,solar
35403.0,14.211527000000014,607,solar
35404.0,43.80048699999997,2544,solar
35407.0,19.819448000000026,1639,solar
35408.0,17.763949000000032,1476,solar
35409.0,31.268853000000004,1298,solar
35410.0,16.28825300000004,2217,solar
35411.0,57.02413000000003,3280,solar
35412.0,13.958653999999994,1606,solar
35413.0,8.627961999999998,713,solar
35414.0,9.454167,712,solar
35415.0,31.885242000000048,2155,solar
35416.0,5.245215999999997,437,solar
35418.0,25.407607,1734,solar
35419.0,59.81832100000001,1921,solar
35421.0,16.304549999999992,1973,solar
35423.0,64.23293599999992,1114,solar
35429.0,44.776708000000006,2904,solar
35430.0,58.133157000000004,4421,solar
35431.0,40.979065000000006,1307,solar
35432.0,43.588708000000025,1778,solar
35433.0,35.40393400000004,2479,solar
35435.0,71.549462,3512,solar
35436.0,54.96727800000001,3009,solar
35439.0,8.06467,582,solar
35440.0,7.441952999999999,711,solar
35441.0,12.423902999999997,1005,solar
35443.0,78.10014099999962,5040,solar
35444.0,38.66964700000001,2770,solar
35445.0,19.419534000000002,1511,solar
35447.0,31.689818,1493,solar
35449.0,26.678967,1905,solar
35450.0,32.24993800000002,1664,solar
35451.0,111.67206100000004,5972,solar
35452.0,140.25919599999983,6487,solar
35453.0,71.392757,5723,solar
35456.0,28.55714000000001,2025,solar
35457.0,24.598236000000007,1473,solar
35458.0,6.531631999999989,1111,solar
35459.0,22.250257000000005,1678,solar
35462.0,7.394092999999994,797,solar
35465.0,7.0793309999999945,863,solar
35466.0,9.833418999999997,1105,solar
35467.0,18.51050399999999,2032,solar
35468.0,35.56365600000002,2108,solar
35474.0,47.21642800000001,2086,solar
35475.0,68.77491099999995,1879,solar
35476.0,30.205232,1821,solar
35478.0,41.21481600000004,4099,solar
35479.0,34.035444999999996,2218,solar
35480.0,21.074908000000015,1118,solar
35481.0,9.80864199999999,1244,solar
35482.0,50.140294000000026,2368,solar
35483.0,23.834095,1031,solar
35484.0,60.997730000000004,2575,solar
35485.0,52.568034999999995,2404,solar
35486.0,9.897415,1176,solar
35487.0,0.053700000000000005,2,solar
35489.0,5.821165000000001,754,solar
35491.0,10.580849999999995,1323,solar
35493.0,49.727386000000045,4537,solar
35494.0,43.181966,1555,solar
35496.0,7.5811559999999965,1181,solar
35497.0,5.051479999999999,326,solar
35498.0,127.40196800000004,6325,solar
35500.0,1.017069,77,solar
35502.0,46.986463999999835,4088,solar
35504.0,20.485954000000042,1564,solar
35505.0,19.176188000000053,2129,solar
35506.0,41.936695,3146,solar
35507.0,22.922531000000017,2374,solar
35508.0,28.78771200000005,2531,solar
35509.0,91.194843,6032,solar
35510.0,7.048820999999997,584,solar
35511.0,18.307993000000046,1645,solar
35512.0,68.82252100000002,3988,solar
35513.0,28.942812999999994,541,solar
35515.0,5.040948999999999,126,solar
35518.0,20.207183999999994,1697,solar
35519.0,5.515482999999998,409,solar
35522.0,17.863938000000008,1864,solar
35523.0,26.438084999999997,3224,solar
35524.0,11.388795,1316,solar
35526.0,20.889720999999994,2522,solar
35527.0,15.967251999999998,935,solar
35528.0,7.811134999999997,775,solar
35530.0,6.1879529999999985,229,solar
