line_id,bus0,bus1,r,x,s_nom,length,carrier,num_parallel,b,g,v_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,build_year,lifetime,capital_cost,cables,terrain_factor,v_ang_min,v_ang_max,type,geom,topo
33181,34901,14247,0.2339033076,2.099515352,3580.0,16.697247903167856,AC,1.0,2.5406412906089196e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33182,9152,9156,1.0027165939999998,2.89002934,1040.0,18.351326135947154,AC,1.0,9.788039442854392e-06,0.0,220.0,True,520.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33183,4033,4038,0.24279018900000002,2.179282634,3580.0,17.322977198513893,AC,1.0,1.2901282277900385e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33184,2498,2495,0.1520902386,1.365156878,3580.0,10.836274511241934,AC,1.0,1.8090515411671006e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33185,1200,1431,0.957230488,8.59208158,3580.0,68.26162221382216,AC,1.0,0.00010987828688983324,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33186,14792,12920,0.5097286066,4.575307682499824,3580.0,37.852625542887495,AC,1.0,1.7637743111886266e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33187,114,115,0.8412475416,7.551012452,1790.0,29.998054256597015,AC,1.0,1.329069696550951e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33188,15305,15319,0.060987051199999996,0.547418956,3580.0,4.34765139721832,AC,1.0,4.2234452539711875e-06,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33189,10705,10707,0.55463496,1.5985660899999998,2080.0,20.335041004796437,AC,1.0,5.183908576933505e-05,0.0,220.0,True,520.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33190,8377,8375,0.955377836,8.57543948,1790.0,34.035102665758025,AC,1.0,3.0197205001169088e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
