class,line_id,bus0,bus1,v_nom,s_nom,length_km,x_ohm,peak_flow_MW,peak_loading,suggested_fix,gen_MW,peak_load_MW,evacuation_MW,n_duplicates,endpoint_has_trafo,pocket_n_buses,pocket_gen_MW,pocket_peak_load_MW,nearest_ehv_bus,nearest_ehv_kv,nearest_ehv_km
C_dummy_connector,30296,39980,39923,110.0,280.0,0.37516018961393854,0.05,4.969198703765869,0.017747138227735246,merge bus0+bus1 (same substation) or raise x to physical ≥0.05,,,,,,,,,,,
C_dummy_connector,30317,39996,39917,110.0,280.0,0.48536248361519574,0.05,4.969198703765869,0.017747138227735246,merge bus0+bus1 (same substation) or raise x to physical ≥0.05,,,,,,,,,,,
C_dummy_connector,28023,33766,24157,110.0,280.0,0.409943298244117,0.05,4.169773101806641,0.014892046792166574,merge bus0+bus1 (same substation) or raise x to physical ≥0.05,,,,,,,,,,,
C_dummy_connector,30304,39986,2456,110.0,280.0,0.4083873531657784,0.05,4.111253261566162,0.014683047362736294,merge bus0+bus1 (same substation) or raise x to physical ≥0.05,,,,,,,,,,,
C_dummy_connector,1551,38627,35079,110.0,260.0,0.43731624134211605,0.05,3.2384753227233887,0.01245567431816688,merge bus0+bus1 (same substation) or raise x to physical ≥0.05,,,,,,,,,,,
C_dummy_connector,13145,35079,38627,110.0,260.0,0.4359691368181659,0.05,3.2384753227233887,0.01245567431816688,merge bus0+bus1 (same substation) or raise x to physical ≥0.05,,,,,,,,,,,
C_dummy_connector,9920,18123,37993,110.0,280.0,0.4877011497068051,0.05,2.857644557952881,0.01020587342126029,merge bus0+bus1 (same substation) or raise x to physical ≥0.05,,,,,,,,,,,
C_dummy_connector,19133,18123,37993,110.0,280.0,0.4877011497068051,0.05,2.857644557952881,0.01020587342126029,merge bus0+bus1 (same substation) or raise x to physical ≥0.05,,,,,,,,,,,
C_dummy_connector,8857,35323,36281,110.0,280.0,0.46929286707828394,0.05,2.7266058921813965,0.00973787818636213,merge bus0+bus1 (same substation) or raise x to physical ≥0.05,,,,,,,,,,,
C_dummy_connector,9192,35323,36281,110.0,280.0,0.4757629006332105,0.05,2.7266058921813965,0.00973787818636213,merge bus0+bus1 (same substation) or raise x to physical ≥0.05,,,,,,,,,,,
C_dummy_connector,10171,18876,39342,110.0,260.0,0.435831244099965,0.05,2.5144131183624268,0.009670819686009333,merge bus0+bus1 (same substation) or raise x to physical ≥0.05,,,,,,,,,,,
