cluster_0,cluster_1,name_0,name_1,voltage_kv,egon_segments,egon_max_cables,egon_circuits,jao_single_hop,jao_multi_hop,jao_total_traversals,diff_vs_single,diff_vs_total,egon_length_km,cables_detail,sh_names,mh_names
osm_89215122,spatial_14105,Station Saarwellingen,spatial_14105,220.0,2,3,1,0,3,3,,-2.0,6.1,"[3, 3]",,Diefflen - Uchtelfangen ELLBCH N ; Diefflen - Ensdorf ENSDF N ; Y-Diefflen (-Ensdorf - Uchtelfangen) ENSDF S 
osm_89352550,spatial_19915,Schaltanlage St. Barbara,spatial_19915,380.0,2,3,1,0,2,2,,-1.0,0.6,"[3, 3]",,St. Barbara - Mittelbexbach HAGARD O ; St. Barbara - Mittelbexbach HAGARD W 
osm_90148336,spatial_11486,Setzer Wiese,spatial_11486,220.0,1,6,2,2,0,2,0.0,0.0,5.8,[6],Y-Setzer Wiese (-Altenkleusheim - Eiserfeld) EISERF ; Y-Setzer Wiese (-Altenkleusheim - Eiserfeld) SETZE N ,
osm_90148336,spatial_39938,Setzer Wiese,spatial_39938,220.0,1,3,1,0,0,0,,,4.8,[3],,
osm_90148336,spatial_6928,Setzer Wiese,spatial_6928,220.0,1,3,1,0,2,2,,-1.0,10.0,[3],,Dauersberg - Setzer Wiese HELLER O ; Dauersberg - Setzer Wiese HELLER W 
osm_907539360,spatial_16694,Schuby/West,spatial_16694,380.0,2,3,1,0,2,2,,-1.0,51.0,"[3, 3]",,Schuby/W - Handewitt gelb; Schuby/W - Handewitt rot
osm_91080806,spatial_11806,Umspannwerk Pirach,spatial_11806,220.0,2,3,1,0,1,1,,0.0,48.0,"[3, 3]",,Pirach - Pleinting 257
osm_91086220,spatial_11804,Umspannwerk Simbach,spatial_11804,220.0,2,3,1,2,0,2,-1.0,-1.0,5.2,"[3, 3]",Y-Simbach (-Simbach - St. Peter - Altheim) 233/230; Y-Simbach (-Simbach - St. Peter - Altheim) 234/230,
osm_91854336,spatial_39388,Station Mündelheim,spatial_39388,220.0,1,3,1,1,0,1,0.0,0.0,5.1,[3],Gellep - Muendelheim STRATM W ,
osm_91854336,spatial_39837,Station Mündelheim,spatial_39837,220.0,1,3,1,0,2,2,,-1.0,1.8,[3],,Muendelheim - Utfort MUENDL N ; Muendelheim - Uerdingen MUENDL S 
osm_91854336,spatial_5616,Station Mündelheim,spatial_5616,220.0,2,3,1,0,0,0,,,1.1,"[3, 3]",,
osm_92024105,spatial_5616,Station Rheinhausen,spatial_5616,220.0,1,3,1,0,0,0,,,5.1,[3],,
osm_927298915,osm_927298923,Ostwind 1,Ostwind 1,220.0,1,3,1,0,0,0,,,1.0,[3],,
