carrier,bus,gen_id,annual_dp_up_MWh,annual_dp_dn_MWh
onwind,10347,3820,0.0,-0.0
onwind,10351,3825,0.0,-0.0
onwind,10360,3831,0.0,-0.0
onwind,10407,3837,0.0,-0.0
onwind,10418,3841,0.0,-0.0
onwind,10448,3848,0.0,-0.0
onwind,10453,3851,0.0,-0.0
onwind,10478,3855,0.0,-0.0
onwind,10479,3860,0.0,-0.0
onwind,10494,3864,0.0,-0.0
onwind,10496,3866,0.0,-0.0
onwind,10501,3869,0.0,-0.0
onwind,10504,3873,0.0,-0.0
onwind,10507,3878,0.0,-0.0
onwind,10522,3886,0.0,-0.0
onwind,10536,3899,0.0,-0.0
onwind,10538,3901,0.0,-0.0
onwind,10575,3909,0.0,-0.0
onwind,10581,3917,0.0,-0.0
onwind,10583,3921,0.0,-0.0
onwind,10587,3924,0.0,-0.0
onwind,10590,3926,0.0,-0.0
onwind,10643,3938,0.0,-0.0
onwind,10672,3946,0.0,-0.0
onwind,10740,3948,0.0,-0.0
onwind,10742,3949,0.0,-0.0
onwind,10747,3953,0.0,-0.0
onwind,10748,3956,0.0,-0.0
onwind,10749,3960,0.0,-0.0
onwind,10781,3965,0.0,-0.0
onwind,10801,3968,0.0,-0.0
onwind,10890,3973,0.0,-0.0
onwind,10908,3979,0.0,-0.0
onwind,10922,3981,0.0,-0.0
onwind,11003,4003,0.0,-0.0
onwind,11005,4006,0.0,-0.0
onwind,11008,4009,0.0,-0.0
onwind,11010,4012,0.0,-0.0
onwind,11029,4015,0.0,-0.0
onwind,11034,4020,0.0,-0.0
onwind,11048,4029,0.0,-0.0
onwind,11051,4031,0.0,-0.0
onwind,11057,4035,0.0,-0.0
onwind,11101,4045,0.0,-0.0
onwind,11283,4055,0.0,-0.0
onwind,11284,4058,0.0,-0.0
onwind,11328,4067,0.0,-0.0
onwind,11531,4100,0.0,-0.0
onwind,11601,4107,0.0,-0.0
onwind,11603,4111,0.0,-0.0
onwind,11775,4119,0.0,-0.0
onwind,11778,4127,0.0,-0.0
onwind,11798,4130,0.0,-0.0
onwind,11811,4134,0.0,-0.0
onwind,11842,4139,0.0,-0.0
onwind,11847,4144,0.0,-0.0
onwind,11848,4147,0.0,-0.0
onwind,11849,4150,0.0,-0.0
onwind,11857,4154,0.0,-0.0
onwind,11913,4162,0.0,-0.0
onwind,11918,4165,0.0,-0.0
onwind,11921,4169,0.0,-0.0
onwind,11922,4171,0.0,-0.0
onwind,11926,4177,0.0,-0.0
onwind,11949,4190,0.0,-0.0
onwind,12028,4202,0.0,-0.0
onwind,12029,4205,0.0,-0.0
onwind,12032,4208,0.0,-0.0
onwind,12036,4211,0.0,-0.0
onwind,12042,4213,0.0,-0.0
onwind,12044,4215,0.0,-0.0
onwind,12128,4221,0.0,-0.0
onwind,12129,4224,0.0,-0.0
onwind,12131,4227,0.0,-0.0
onwind,12160,4241,0.0,-0.0
onwind,12163,4244,0.0,-0.0
onwind,12164,4247,0.0,-0.0
onwind,12190,4249,0.0,-0.0
onwind,12192,4252,0.0,-0.0
onwind,12195,4255,0.0,-0.0
onwind,12197,4258,0.0,-0.0
onwind,12204,4261,0.0,-0.0
onwind,12216,4264,0.0,-0.0
onwind,12231,4276,0.0,-0.0
onwind,12240,4285,0.0,-0.0
onwind,12258,4292,0.0,-0.0
onwind,12279,4295,0.0,-0.0
onwind,12363,4308,0.0,-0.0
onwind,12365,4311,0.0,-0.0
onwind,12403,4316,0.0,-0.0
